id,gender,age,study_year,program,employment_status,average_grade,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_days_week,pss_1_overwhelmed,pss_2_control_reverse,pss_3_nervous,pss_4_confident_reverse,ds_1_notifications,ds_2_pressure_reply,ds_3_information_overload,ds_4_multitasking,ds_5_sleep_disruption,ds_6_online_comparison,ams_1_enjoy_learning,ams_2_effort,ams_3_career_relevance,ams_4_persistence,ams_5_interest,who_1_cheerful,who_2_calm,who_3_active,who_4_rested,who_5_interested,ea_1_worry,ea_2_tension,ea_3_avoidance,ea_4_concentration_difficulty,academic_satisfaction,research_methods_confidence,help_seeking_intention
11,Female,20,3,Applied Psychology,Not employed,7.07,6.9,4.9,6.6,1,4.0,3.0,4.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,1.0
12,Male,20,4,Applied Psychology,Not employed,7.53,3.6,1.1,6.9,3,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0
13,Female,27,4,Applied Psychology,Part-time,8.97,4.7,2.8,6.8,0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,3.0,
14,Female,23,2,Applied Psychology,Part-time,9.4,4.6,1.7,8.9,3,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,,4.0,3.0
15,Male,23,4,Applied Psychology,Part-time,7.54,5.8,4.2,6.0,0,4.0,3.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0
16,Female,21,3,Applied Psychology,Not employed,8.18,6.4,4.2,5.0,0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0
17,Female,28,5,Psychology,Not employed,8.74,5.7,2.9,8.7,4,1.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,,5.0
18,Female,22,3,Applied Psychology,Not employed,7.7,3.4,1.1,6.4,4,3.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0
19,Female,25,2,Applied Psychology,Part-time,9.47,2.7,1.0,7.5,2,5.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0
20,Female,18,1,Applied Psychology,Not employed,7.68,6.5,3.3,6.9,2,3.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0
21,Female,18,3,Applied Psychology,Not employed,7.88,3.9,2.4,7.1,2,3.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0
22,Female,24,5,Applied Psychology,Not employed,9.03,6.5,2.9,7.8,3,4.0,3.0,5.0,4.0,2.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0
23,Female,22,4,Applied Psychology,Not employed,8.75,3.5,1.4,9.1,1,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0
24,Male,23,1,Psychology,Not employed,8.5,7.2,3.9,6.8,2,5.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0
25,Female,20,2,Psychology,Part-time,7.06,5.4,2.3,5.5,4,3.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0
26,Female,19,2,Applied Psychology,Not employed,6.72,7.1,2.8,5.2,1,4.0,1.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,1.0,1.0,3.0
27,Female,23,1,Psychology,Part-time,8.4,5.2,1.5,7.1,0,1.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0
28,Male,23,1,Social Sciences,Not employed,8.13,5.0,1.8,7.6,5,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0
29,Female,21,1,Applied Psychology,Part-time,8.7,4.9,1.9,4.8,3,5.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,5.0,,2.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0
30,Female,23,3,Applied Psychology,Not employed,7.65,6.1,3.0,5.6,3,5.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0
31,Female,22,4,Applied Psychology,Not employed,7.96,6.7,2.6,6.9,2,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0
32,Female,20,4,Psychology,Part-time,7.9,7.4,3.0,7.5,2,2.0,,2.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0
33,Female,23,2,Psychology,Part-time,8.0,4.6,1.9,8.6,3,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,,5.0,3.0,1.0,4.0,3.0,5.0,3.0,5.0
34,Female,22,5,Social Sciences,Not employed,9.76,4.9,0.2,8.0,3,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,,5.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
35,Female,19,2,Applied Psychology,Not employed,7.58,3.4,3.5,8.0,4,2.0,4.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0
36,Female,20,2,Applied Psychology,Not employed,7.69,5.2,1.2,6.5,4,4.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0
37,Female,19,4,Applied Psychology,Not employed,7.66,6.6,3.5,5.8,2,4.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,,2.0
38,Female,20,1,Applied Psychology,Not employed,8.47,4.9,0.2,7.0,4,3.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
39,Female,22,2,Applied Psychology,Part-time,7.32,5.5,2.5,5.7,1,2.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,5.0,3.0,5.0
40,Female,24,2,Applied Psychology,Part-time,6.7,8.0,3.9,6.6,3,4.0,2.0,3.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0
41,Female,23,3,Applied Psychology,Not employed,8.45,6.6,3.2,6.1,3,4.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0
42,Prefer not to say,22,1,Applied Psychology,Part-time,7.79,5.4,1.5,8.4,2,4.0,5.0,,5.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0
43,Female,26,1,Applied Psychology,Not employed,8.15,5.3,1.6,6.6,4,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,,3.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0
44,Female,24,4,Social Sciences,Full-time,7.89,4.1,0.9,7.5,1,4.0,1.0,,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0
45,Female,25,2,Applied Psychology,Part-time,7.98,3.3,2.1,6.4,2,2.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,,3.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,5.0,4.0,3.0
46,Female,25,4,Applied Psychology,Full-time,8.92,6.7,3.2,8.0,2,1.0,5.0,1.0,5.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0,3.0
47,Female,23,2,Applied Psychology,Part-time,8.34,3.3,3.3,6.4,2,4.0,2.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,,1.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0
48,Female,24,2,Applied Psychology,Part-time,8.67,4.8,2.3,9.2,2,1.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0
49,Female,23,2,Applied Psychology,Not employed,8.49,5.8,3.4,6.8,4,2.0,4.0,4.0,2.0,4.0,,2.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,,3.0,2.0,2.0,5.0,5.0,,3.0,1.0,2.0,3.0
50,Male,19,1,Applied Psychology,Not employed,7.88,2.6,2.3,7.1,0,2.0,4.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,5.0
51,Female,25,3,Applied Psychology,Not employed,8.0,4.5,3.8,7.1,3,4.0,2.0,4.0,4.0,3.0,4.0,2.0,,2.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0
52,Male,22,5,Applied Psychology,Not employed,8.19,5.8,2.6,7.9,3,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,1.0,4.0,1.0
53,Female,22,2,Applied Psychology,Full-time,7.81,5.2,0.2,7.2,2,2.0,,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0
54,Female,22,5,Applied Psychology,Part-time,7.9,4.1,3.1,8.3,2,2.0,4.0,1.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
55,Male,21,3,Psychology,Not employed,7.55,4.8,4.3,8.7,1,5.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0
56,Male,18,2,Psychology,Not employed,8.42,6.3,0.7,7.3,2,5.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
57,Female,25,4,Applied Psychology,Part-time,9.2,5.7,1.4,6.6,1,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,5.0
58,Female,21,5,Psychology,Not employed,8.29,5.8,0.6,8.5,4,2.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0
59,Female,23,1,Applied Psychology,Not employed,8.59,5.8,2.1,6.5,2,4.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,5.0
60,Male,24,1,Applied Psychology,Not employed,7.86,8.0,4.4,6.6,2,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0
61,Female,23,2,Social Sciences,Not employed,8.19,3.8,2.3,6.6,2,2.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0
62,Female,21,2,Psychology,Not employed,7.83,7.4,2.8,7.3,4,4.0,5.0,,4.0,3.0,,3.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,
63,Male,20,1,Applied Psychology,Not employed,7.79,6.9,1.3,7.1,2,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0
64,Male,21,1,Applied Psychology,Part-time,8.07,5.0,4.3,6.9,3,2.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0
65,Female,21,3,Applied Psychology,Full-time,8.24,6.7,4.3,7.5,3,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0
66,Male,18,5,Applied Psychology,Not employed,8.31,2.8,2.1,8.4,4,1.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0,4.0
67,Male,21,1,Social Sciences,Not employed,8.41,4.3,2.0,5.8,1,2.0,,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,,4.0,2.0,2.0,4.0
68,Female,22,1,Applied Psychology,Not employed,8.26,6.5,2.1,8.5,3,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0
69,Prefer not to say,20,2,Applied Psychology,Not employed,9.5,5.7,3.2,9.2,2,3.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0
70,Prefer not to say,20,4,Psychology,Full-time,8.7,6.7,3.2,6.5,3,3.0,1.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0
71,Female,25,4,Applied Psychology,Part-time,7.71,8.0,3.6,5.7,2,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,4.0,2.0,4.0,1.0,3.0,1.0
72,Female,18,4,Applied Psychology,Not employed,8.0,8.3,0.5,7.5,1,2.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0
73,Male,23,4,Applied Psychology,Not employed,7.91,7.1,2.0,7.1,4,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,3.0,3.0
74,Female,25,1,Applied Psychology,Part-time,8.31,6.8,3.9,6.5,3,1.0,4.0,2.0,5.0,,5.0,3.0,4.0,2.0,3.0,,3.0,3.0,2.0,3.0,,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0
75,Male,21,2,Applied Psychology,Not employed,7.26,6.5,3.2,9.5,2,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,3.0
76,Male,20,5,Applied Psychology,Not employed,6.4,8.2,3.1,6.2,2,3.0,2.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,
77,Female,21,3,Applied Psychology,Not employed,8.62,6.0,4.8,7.0,5,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0
78,Female,18,4,Psychology,Part-time,6.88,5.3,2.0,6.7,1,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0
79,Female,21,1,Applied Psychology,Full-time,7.95,4.6,1.3,8.3,0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,5.0,3.0,4.0,2.0,3.0,1.0,,2.0,2.0,1.0,2.0,4.0,3.0,4.0
80,Female,24,2,Applied Psychology,Not employed,8.88,7.2,2.1,6.1,4,2.0,4.0,1.0,5.0,5.0,4.0,,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0
81,Female,22,4,Psychology,Part-time,7.3,5.6,3.7,5.2,1,3.0,2.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0
82,Male,20,4,Applied Psychology,Not employed,8.19,5.5,3.6,6.5,0,2.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0
83,Female,20,4,Psychology,Not employed,7.34,6.1,4.2,7.4,1,3.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0
84,Male,18,2,Applied Psychology,Full-time,7.65,5.8,2.7,7.2,2,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0
85,Male,20,3,Social Sciences,Not employed,8.14,4.8,0.8,7.2,1,4.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0
86,Female,18,1,Applied Psychology,Not employed,8.2,4.6,2.3,7.2,5,3.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0
87,Male,24,2,Applied Psychology,Not employed,8.45,7.0,3.9,5.8,2,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,1.0
88,Male,22,4,Applied Psychology,Not employed,8.49,3.5,2.0,7.5,0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,,3.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0
89,Male,24,2,Social Sciences,Full-time,10.0,6.0,2.2,5.4,1,1.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,,3.0,4.0,3.0,,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0
90,Female,22,2,Social Sciences,Part-time,7.04,3.3,1.9,6.7,1,3.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0
91,Female,23,5,Psychology,Part-time,7.64,5.3,2.9,7.0,3,3.0,2.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0
